Admin 1,Admin 2,Admin 3,Facility,HF_Type,Catchment,Latitude,Longitude
Azad Kashmir,Poonch,Hajira,Kai darah Surari,FAP,"8,207",33.80604,73.90014
Azad Kashmir,Poonch,Hajira,Kot phagwati,FAP,"11,194",33.737073,73.872491
Azad Kashmir,Poonch,Hajira,Dotra,FAP,"4,550",0,0
Azad Kashmir,Poonch,Hajira,Sehra,FAP,"5,395",0,0
Azad Kashmir,Poonch,Hajira,Khrang,FAP,"14,020",0,0
Azad Kashmir,Poonch,Hajira,Nchorbn,FAP,"6,555",0,0
Azad Kashmir,Poonch,Hajira,Battle,FAP,"7,000",33.80955,74.00191
Azad Kashmir,Poonch,Hajira,Tahi,FAP,"13,356",33.628528,73.955837
Azad Kashmir,Poonch,Rawalakot,Bayrian,FAP,"13,483",0,0
Azad Kashmir,Poonch,Rawalakot,Pak gali,FAP,"15,058",33.895788,73.712345
Azad Kashmir,Poonch,Rawalakot,Ballari,FAP,"8,371",33.877917,73.658418
Azad Kashmir,Poonch,Rawalakot,Batha Morah,FAP,"5,235",33.832372,73.67186
Azad Kashmir,Poonch,Rawalakot,Poth Bongoin,FAP,"4,419",33.939213,73.6446
Azad Kashmir,Poonch,Rawalakot,Patola,FAP,"8,669",0,0
Azad Kashmir,Poonch,Rawalakot,Nar Tain,FAP,"1,600",33.863052,73.631217
Azad Kashmir,Poonch,Rawalakot,Qanchikot,FAP,"1,783",0,0
Azad Kashmir,Poonch,Rawalakot,Kahu Kot,FAP,"11,000",33.875109,73.861203
Azad Kashmir,Poonch,Rawalakot,Gahi Banjosa,FAP,"3,933",0,0
Azad Kashmir,Poonch,Rawalakot,Rar Ban,FAP,"10,693",0,0
Azad Kashmir,Poonch,Rawalakot,Mori Furman Shah,BHU,"25,741",33.914167,73.719417
Azad Kashmir,Poonch,Rawalakot,Bongoin,BHU,"16,482",33.936361,73.662972
Azad Kashmir,Poonch,Rawalakot,Pachiot,BHU,"6,000",33.908612,73.657143
Azad Kashmir,Poonch,Rawalakot,Rehara,BHU,"19,711",33.83056,73.68278
Azad Kashmir,Poonch,Rawalakot,Dhamni,BHU,"15,972",33.864361,73.792028
Azad Kashmir,Poonch,Rawalakot,Chotagala,BHU,"8,676",33.815,73.805139
Azad Kashmir,Poonch,Rawalakot,Pothi Makwalaina,BHU,"11,875",33.889278,73.734917
Azad Kashmir,Poonch,Rawalakot,Khurichana,BHU,"6,358",33.862524,73.899732
Azad Kashmir,Poonch,Rawalakot,Rawlakot H/Q,BHU,"26,772",33.854306,73.766444
Azad Kashmir,Poonch,Rawalakot,Singola,BHU,"15,252",33.893833,73.794
Azad Kashmir,Poonch,Rawalakot,Namnota,BHU,"11,735",33.859472,73.849083
Azad Kashmir,Poonch,Rawalakot,Khaigala,BHU,"23,862",33.847056,73.8295
Azad Kashmir,Poonch,Abbasspur,KAHALI DRAMMON,BHU,"33,945",33.858167,73.965389
Azad Kashmir,Poonch,Abbasspur,Chaffar,BHU,"8,738",33.81583,74.01306
Azad Kashmir,Poonch,Hajira,Sehra,BHU,"12,116",33.640626,73.962479
Azad Kashmir,Poonch,Hajira,Tanda Ghamir,BHU,"16,835",33.783917,73.946583
Azad Kashmir,Poonch,Hajira,Mandhol,BHU,"20,863",33.677417,73.960278
Azad Kashmir,Poonch,Hajira,Davi Gali,BHU,"13,584",33.77313,73.854942
Azad Kashmir,Poonch,Hajira,Sirani,BHU,"12,335",0,0
Azad Kashmir,Poonch,Hajira,Rakkar,BHU,"15,862",33.705722,73.917111
Azad Kashmir,Poonch,Hajira,Tatrinote,BHU,"13,391",33.761208,73.664902
Azad Kashmir,Poonch,Hajira,Pothi Chaprian,BHU,"15,000",33.81722,73.875
Azad Kashmir,Poonch,Rawalakot,Jandala,BHU,"9,214",33.956278,73.631333
Azad Kashmir,Poonch,Rawalakot,Thorar,BHU,"13,380",33.84917,73.64111
Azad Kashmir,Poonch,Rawalakot,Khotara,BHU,"6,378",33.861312,73.689888
Azad Kashmir,Poonch,Rawalakot,Datote,BHU,"8,000",33.903972,73.670389
Azad Kashmir,Poonch,Rawalakot,Hurnamara,BHU,"18,145",33.877127,73.704596
Azad Kashmir,Poonch,Rawalakot,Bhalgran,BHU,"4,560",33.849806,73.60806
Azad Kashmir,Poonch,Rawalakot,Dahal Kot,BHU,"3,733",33.916707,73.617469
Azad Kashmir,Poonch,Abbasspur,Abbaspur,RHC,"91,130",33.812361,73.978611
Azad Kashmir,Poonch,Rawalakot,Tain,RHC,"3,993",33.901222,73.611722
Azad Kashmir,Poonch,Hajira,Hajira,RHC,"245,000",33.770778,73.89575
Azad Kashmir,Poonch,Rawalakot,Paniola,RHC,"24,063",33.919639,73.687139
Azad Kashmir,Poonch,Rawalakot,Ali SoJal,RHC,"13,249",33.869611,73.87875
Azad Kashmir,Poonch,Rawalakot,Banjosa,RHC,"12,456",33.796222,73.796361
Azad Kashmir,Sudhnati,Mong,Kanchary,FAP,"3,900",33.820195,73.644659
Azad Kashmir,Sudhnati,Balooch,Bathak,FAP,"15,513",33.692574,73.804226
Azad Kashmir,Sudhnati,Balooch,Manghri,FAP,"2,454",0,0
Azad Kashmir,Sudhnati,Balooch,Kahala,FAP,"15,005",0,0
Azad Kashmir,Sudhnati,Balooch,Talawari,FAP,"3,000",33.677392,73.769276
Azad Kashmir,Sudhnati,Palandri,Nakar,FAP,"5,172",33.719458,73.723415
Azad Kashmir,Sudhnati,Palandri,Sehar Hawal Kot,FAP,"5,958",33.687197,73.732429
Azad Kashmir,Sudhnati,Palandri,Numb Dhar,FAP,"4,130",33.677234,73.66079
Azad Kashmir,Sudhnati,Palandri,Pir Gali,FAP,"2,037",33.743179,73.73749
Azad Kashmir,Sudhnati,Palandri,Kot kotli,FAP,"4,175",0,0
Azad Kashmir,Sudhnati,Palandri,Dana Panthal,FAP,"2,468",33.596106,73.714875
Azad Kashmir,Sudhnati,Mong,Islam Nager,FAP,"3,519",33.785245,73.57476
Azad Kashmir,Sudhnati,Palandri,Islam Pura,CD/GD,"3,400",33.666322,73.670121
Azad Kashmir,Sudhnati,Balooch,Gala Kan,CD/GD,"12,935",0,0
Azad Kashmir,Sudhnati,Balooch,Nallain,CD/GD,"10,580",33.684983,73.753146
Azad Kashmir,Sudhnati,Balooch,Qillan,CD/GD,"11,763",33.706806,73.798533
Azad Kashmir,Sudhnati,Palandri,Jail,CD/GD, -   ,33.724993,73.687358
Azad Kashmir,Sudhnati,Palandri,Nsary Grala,CD/GD,"9,100",33.789832,73.734959
Azad Kashmir,Sudhnati,Palandri,Dhaman Pukhnar,CD/GD,"7,640",33.608283,73.841864
