Admin 1,Admin 2,Admin 3,Facility,Facility Type,Catchment,Latitude,Longitude,UID
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,Bhu,"17,630",34.290165,73.568298,167-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Hatian Dupatta,Bhu,"8,748",34.28399,73.63556,168-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Langer Pura,Bhu,"25,000",34.321508,73.539884,169-fac1
Azad Kashmir,Muzaffarabad,Pattika,Panjgran,Bhu,"19,110",34.487307,73.619854,170-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Gojra,Bhu,"8,220",34.371014,73.408944,171-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,Bhu,"7,000",34.286942,73.526995,172-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Charak Pura,Bhu,"11,700",34.124951,73.636844,173-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Noora Sari,Bhu,"9,604",34.397377,73.514692,174-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Her Kootli,Bhu,"4,150",34.432529,73.468116,175-fac1
Azad Kashmir,Muzaffarabad,Pattika,Said Pur,Bhu,"18,334",34.493752,73.490964,176-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Jand Gran,Bhu,"15,494",34.622934,73.767784,177-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Qomi Kot,Bhu,"44,145",34.204629,73.58851,178-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Danna,Rhc,"38,285",34.303932,73.507368,179-fac1
Azad Kashmir,Muzaffarabad,Muzaffarabad,Ghari Dupatta,Rhc,"48,486",34.230992,73.620733,180-fac1
Azad Kashmir,Muzaffarabad,Pattika,Kahori,Rhc,"60,000",34.368084,73.692794,181-fac1
Azad Kashmir,Muzaffarabad,Pattika,Balgran,Rhc,"40,000",34.141941,73.527874,182-fac1
Azad Kashmir,Poonch,Hajira,Kathera,Fap,"8,200",33.861312,73.689888,183-fac1
Azad Kashmir,Poonch,Hajira,Darikot,Fap,"6,000",33.84111,73.90692,184-fac1
Azad Kashmir,Poonch,Abbasspur,Taroti,Fap,"1,493",33.788154,74.008341,185-fac1
Azad Kashmir,Poonch,Abbasspur,Kalran,Fap,"8,389",33.830852,73.93512,186-fac1
Azad Kashmir,Poonch,Abbasspur,Andrinor,Fap,"5,824",0,0,187-fac1
Azad Kashmir,Poonch,Abbasspur,Marchakot,Fap,"6,969",33.88805,73.97295,188-fac1
Azad Kashmir,Poonch,Abbasspur,Kot Katran,Fap,"9,918",0,0,189-fac1
Azad Kashmir,Poonch,Hajira,Kanoyion Bangran,Fap,"10,950",0,0,190-fac1
Azad Kashmir,Poonch,Hajira,Darra Sher Khn,Fap,"8,574",33.624021,73.989047,191-fac1
Azad Kashmir,Poonch,Hajira,Numbal Bala,Fap,"4,450",33.90526,73.64757,192-fac1
Azad Kashmir,Poonch,Hajira,Kai Darah Surari,Fap,"8,207",33.80604,73.90014,193-fac1
Azad Kashmir,Poonch,Hajira,Kot Phagwati,Fap,"11,194",33.737073,73.872491,194-fac1
Azad Kashmir,Poonch,Hajira,Dotra,Fap,"4,550",0,0,195-fac1
Azad Kashmir,Poonch,Hajira,Sehra,Fap,"5,395",0,0,196-fac1
Azad Kashmir,Poonch,Hajira,Khrang,Fap,"14,020",0,0,197-fac1
Azad Kashmir,Poonch,Hajira,Nchorbn,Fap,"6,555",0,0,198-fac1
Azad Kashmir,Poonch,Hajira,Battle,Fap,"7,000",33.80955,74.00191,199-fac1
Azad Kashmir,Poonch,Hajira,Tahi,Fap,"13,356",33.628528,73.955837,200-fac1
Azad Kashmir,Poonch,Rawalakot,Bayrian,Fap,"13,483",0,0,201-fac1
Azad Kashmir,Poonch,Rawalakot,Pak Gali,Fap,"15,058",33.895788,73.712345,202-fac1
Azad Kashmir,Poonch,Rawalakot,Ballari,Fap,"8,371",33.877917,73.658418,203-fac1
Azad Kashmir,Poonch,Rawalakot,Batha Morah,Fap,"5,235",33.832372,73.67186,204-fac1
Azad Kashmir,Poonch,Rawalakot,Poth Bongoin,Fap,"4,419",33.939213,73.6446,205-fac1
Azad Kashmir,Poonch,Rawalakot,Patola,Fap,"8,669",0,0,206-fac1
Azad Kashmir,Poonch,Rawalakot,Nar Tain,Fap,"1,600",33.863052,73.631217,207-fac1
Azad Kashmir,Poonch,Rawalakot,Qanchikot,Fap,"1,783",0,0,208-fac1
Azad Kashmir,Poonch,Rawalakot,Kahu Kot,Fap,"11,000",33.875109,73.861203,209-fac1
Azad Kashmir,Poonch,Rawalakot,Gahi Banjosa,Fap,"3,933",0,0,210-fac1
Azad Kashmir,Poonch,Rawalakot,Rar Ban,Fap,"10,693",0,0,211-fac1
Azad Kashmir,Poonch,Rawalakot,Mori Furman Shah,Bhu,"25,741",33.914167,73.719417,212-fac1
Azad Kashmir,Poonch,Rawalakot,Bongoin,Bhu,"16,482",33.936361,73.662972,213-fac1
Azad Kashmir,Poonch,Rawalakot,Pachiot,Bhu,"6,000",33.908612,73.657143,214-fac1
